Flight Number,Origin,Destination,Departure Time,Estimated Arrival Time
430,SEA,LAS,Wed 07:14PM PST,Wed 09:01PM PST
432,MCO,BOS,Wed 08:56PM EST,Wed 11:23PM EST
433,BOS,MCO,Wed 09:41PM EST,Thu 12:13AM EST
462,TPA,PIT,Wed 10:55PM EST,Thu 12:50AM EST
463,PIT,TPA,Wed 09:29PM EST,Wed 11:24PM EST
471,LAX,DFW,Wed 07:47PM PST,Thu 12:39AM CST
476,MSY,LAS,Wed 09:54PM CST,Wed 11:18PM PST
509,LAS,MKE,Wed 06:47PM PST,Wed 11:40PM CST
531,CLE,MCO,Wed 09:23PM EST,Wed 11:20PM EST
533,IND,LAS,Wed 08:31PM EST,Wed 09:04PM PST
539,SJU,TPA,Wed 11:36PM AST,Thu 01:17AM EST
611,BOS,FLL,Wed 08:33PM EST,Wed 11:17PM EST
616,FLL,BOS,Wed 08:33PM EST,Wed 11:11PM EST
648,LAX,LAS,Wed 07:50PM PST,Wed 08:42PM PST
653,PIT,LAX,Wed 07:03PM EST,Wed 08:47PM PST
692,LAS,OAK,Wed 08:06PM PST,Wed 09:22PM PST
698,EWR,LAS,Wed 09:23PM EST,Wed 11:26PM PST
703,EWR,IAH,Wed 09:07PM EST,Wed 11:26PM CST
75,EWR,LAX,Wed 05:53PM EST,Wed 08:27PM PST
777,FLL,LAS,Wed 09:13PM EST,Wed 11:14PM PST
805,ATL,LAS,Wed 10:39PM EST,Wed 11:43PM PST
821,IAH,ORD,Wed 09:17PM CST,Wed 11:17PM CST
893,SJU,MCO,Wed 11:59PM AST,Thu 01:39AM EST
913,MCI,LAX,Wed 08:33PM CST,Wed 09:33PM PST
930,MCO,RIC,Wed 11:09PM EST,Thu 12:41AM EST
953,LAX,DTW,Wed 04:43PM PST,Wed 11:29PM EST
